Q7809,联合国教育、科学与文化组织
Q57605562,澳大利亚政府机构
Q60784896,网络视听节目服务机构
Q68295960,瑞典政府机构
Q33685,有限公司
Q46970,航空公司
Q129238,创业公司
Q134161,股份有限公司
Q149789,有限公司
Q161726,跨国公司
Q162157,特许公司
Q165758,兩合公司
Q190915,廉价航空公司
Q216107,百货公司
Q219577,控股公司
Q249556,铁路公司
Q279014,欧洲股份公司
Q368290,电影发行公司
Q377688,字体开发公司
Q460178,有限责任公司
Q489209,合資公司
Q498289,雙重上市公司
Q658255,子公司
Q664702,博彩公司
Q672386,討債公司
Q695318,互惠保险公司
Q721639,載旗航空公司
Q726870,实业公司
Q740752,运输公司
Q783794,公司
Q819425,印度鐵路公司
Q891723,上市公司
Q897103,有限责任合伙公司
Q946499,郵輪公司
Q955214,互惠保险公司
Q1057026,貨運航空公司
Q1057214,私人軍事服務公司
Q1058914,軟件公司
Q1107679,动画製作公司
Q1116826,私营保安公司
Q1144447,模特兒經紀公司
Q1191383,無廠半導體公司
Q1194970,互联网公司
Q1266169,電訊公司
Q1320047,图书出版公司
Q1436139,股份有限公司
Q1517904,封闭式股份公司
Q1518608,有限責任公司
Q1518609,有限責任公司
Q1520069,製瓶公司
Q1542343,独立唱片公司
Q1589009,私人公司
Q1762059,电影制片公司
Q1807108,船公司
Q1880737,分公司
Q1916382,传媒巨擘公司
Q1956113,母公司
Q2007336,州立農業保險公司
Q2073644,经纪公司
Q2089936,咨询公司
Q2143354,保险公司
Q2308203,特殊目的收购公司
Q2374515,关联公司
Q2401749,通讯公司
Q2440569,区域航空公司
Q2442401,唱片公司
Q2512624,銀行控股公司
Q2518331,離岸公司
Q2624520,股份有限公司
Q3742388,股份公司
Q4067597,组合公司
Q4357531,虚拟航空公司
Q4387609,建築公司
Q5001711,商业发展公司
Q5225895,公开股份有限公司
Q5266682,发展公司
Q5354754,經紀公司
Q5418962,私人股本公司
Q5446565,虛構公司
Q5466628,盈利性公司
Q6017411,独立公司
Q6516200,私人擔保有限公司
Q6517426,法律服務公司
Q6832945,私人股份有限責任公司
Q7249333,国货公司
Q7250430,有限公司
Q8303885,信托公司
Q10438042,巴士公司
Q10689397,电视制作公司
Q11361628,房地產公司
Q11396960,制片公司
Q11639917,連結子公司
Q12617875,韩国区域上市公司
Q12782082,國有公司
Q13641190,开放式股份公司
Q15042660,股份有限公司
Q15091621,有限公司
Q15829892,德語國家的有限責任公司
Q15910811,臺灣港務公司
Q16985745,交通网络公司
Q17084016,非营利公司
Q17102188,列車營運公司
Q17377208,铁路运营公司
Q18388277,科技公司
Q18624259,私人有限责任公司
Q20031260,信息技術諮詢公司
Q29643579,多層次營銷公司
Q78443472,公益公司
Q270791,国有企业
Q1331793,媒体企业
Q1421490,政府资助企业
Q1521034,普通合伙企业
Q2531989,人民企业
Q4830453,企业
Q6566978,中央企业
Q6881511,企业
Q17326725,联合企业
Q48851989,美国国有企业
Q187117,游说集团
Q197952,公司集团
Q1466106,普利沙集团
Q3118017,经济利益集团
Q3918,大学
Q265662,国立大学
Q875538,公立大学
Q902104,私立大学
Q3412198,法国的研究型大学
Q3520135,同等学历大学
Q3551775,法國的大学
Q5146936,英国大学内的大学
Q10829188,国际大学
Q11418781,商業大学
Q11510986,旧制大学
Q15936437,研究型大学
Q16077796,副部级大学
Q17028020,职业大学
Q9826,高级中学
Q55043,文科中学
Q149566,初级中学
Q159334,中学
Q667471,实用中学
Q4671329,学院制中学
Q7443856,现代中学
Q10947886,完全中学
Q12708689,马来西亚中学
Q9842,小学
Q1327798,国民小学
Q20950067,小学
Q904416,教育研究院
Q31855,研究所
Q482329,挂靠研究所
Q11499441,教育研究所
Q11555058,法務總合研究所
Q11609363,美術研究所
Q18337319,地方衛生研究所
Q20820271,研究所
